country,firearms,per100,military,lawEnf,pop2022
United States,393347000,120.5,4535380,1016000,334805.269
Falkland Islands,2000,62.1,,30,3.539
Yemen,14859000,52.8,28500,,31154.867
New Caledonia,115000,42.5,,700,290.915
Montenegro,245000,39.1,5396,8000,627.95
Serbia,2719000,39.1,384422,53100,8653.016
Uruguay,1198000,34.7,62130,30000,3496.016
Canada,12708000,34.7,233949,103000,38388.419
Cyprus,285000,34,99000,11000,1223.387
Finland,1793000,32.4,475030,14000,5554.96
Lebanon,1927000,31.9,130150,41000,6684.849
Iceland,106000,31.7,650,590,345.393
Bosnia and Herzegovina,1185000,31.2,27300,29000,3249.317
Austria,2577000,30,240880,37900,9066.71
North Macedonia,621000,29.8,29530,21000,2081.304
Liechtenstein,11000,28.8,,200,38.387
Norway,1537000,28.8,188646,13000,5511.37
Malta,119000,28.3,5547,1637,444.033
Switzerland,2332000,27.6,324484,34000,8773.637
New Zealand,1212000,26.3,38280,13000,4898.203
Sweden,2296000,23.1,139180,38000,10218.971
Greenland,13000,22.3,,300,56.973
Pakistan,43917000,22.3,2315480,944000,229488.994
Portugal,2186000,21.3,333640,89000,10140.57
Monaco,7000,19.6,,1000,39.783
French Guiana,55000,19.6,,2000,314.169
Reunion,171000,19.6,,2000,908.061
Iraq,7588000,19.6,611000,56000,42164.965
France,12732000,19.6,566430,497000,65584.518
Germany,15822000,19.6,483016,466000,83883.596
Luxembourg,110000,18.9,2340,5000,642.371
Bahamas,74000,18.8,2470,5000,400.516
Jordan,1473000,18.7,286450,60000,10300.869
Venezuela,5895000,18.5,353300,173000,29266.991
Greece,1920000,17.6,642510,99000,10316.637
Qatar,390000,16.7,30680,5000,2979.915
Kuwait,685000,16.7,82580,11000,4380.326
Oman,792000,16.7,118360,31000,5323.993
Paraguay,1140000,16.7,235780,21000,7305.843
United Arab Emirates,1569000,16.7,163800,41000,10081.785
Saudi Arabia,5468000,16.7,481350,214000,35844.909
United States Virgin Islands,18000,16.6,,300,103.971
Turkey,13249000,16.5,1390180,620000,85561.976
Suriname,88000,15.9,5985,2000,596.831
Guyana,122000,15.8,10890,4000,794.045
Slovenia,324000,15.6,131686,13000,2078.034
Namibia,396000,15.4,11880,15000,2633.874
Thailand,10342000,15.1,1052815,230000,70078.203
Australia,3573000,14.5,214520,69000,26068.792
San Marino,5000,14.4,,160,34.085
Italy,8609000,14.4,502960,273000,60262.77
Andorra,10000,14.1,,976,77.463
Honduras,1171000,14.1,107720,29000,10221.247
Croatia,576000,13.7,75120,39000,4059.286
Lithuania,385000,13.6,81240,17000,2661.708
Libya,851000,13.3,,,7040.745
Mexico,16809000,12.9,895285,591000,131562.772
Bahrain,181000,12.8,25796,20000,1783.983
Belgium,1451000,12.7,80880,78000,11668.278
Equatorial Guinea,112000,12.5,2760,2000,1496.662
Czech Republic,1323000,12.5,157233,76000,10736.784
Afghanistan,4270000,12.5,331170,239000,40754.388
Somalia,1145000,12.4,37620,8000,16841.795
Russia,17620000,12.3,30272900,2432000,145805.947
Guatemala,2062000,12.1,160600,43000,18584.039
Chile,2220000,12.1,311900,66000,19250.195
Albania,350000,12,21750,19000,2866.374
El Salvador,737000,12,127840,30000,6550.389
Guam,20000,11.5,,500,171.519
Angola,2982000,11.2,203300,60000,35027.343
Panama,436000,10.8,,30000,4446.964
Latvia,205000,10.5,27936,17000,1848.837
Hungary,1023000,10.5,147880,17000,9606.259
Samoa,20000,10.1,,500,202.239
Georgia,402000,10.1,63950,41000,3968.738
Colombia,4971000,10.1,350689,283000,51512.762
Belize,37000,10,3690,2000,412.19
Costa Rica,493000,10,,17000,5182.354
Denmark,567000,9.9,124120,20000,5834.95
Ukraine,4396000,9.9,6600000,289000,43192.122
South Africa,5351000,9.7,350636,250481,60756.135
South Sudan,1255000,9.6,351500,,11618.511
Cayman Islands,6000,9.2,,400,67.277
Jamaica,246000,8.8,8681,12000,2985.094
Saint Martin,3000,8.5,,100,39.73
Martinique,34000,8.5,,1000,374.087
Guadeloupe,40000,8.5,,2000,399.794
Bulgaria,590000,8.4,176640,59400,6844.597
Mauritius,106000,8.3,4845,11000,1274.727
Brazil,17510000,8.3,1316300,803000,215353.593
Syria,1547000,8.2,655500,124000,19364.809
Tonga,9000,8,,200,107.749
Ghana,2280000,8,18600,28000,32395.45
Mongolia,242000,7.9,323400,7000,3378.078
Spain,3464000,7.5,333660,264196,46719.142
Dominican Republic,795000,7.4,106495,46000,11056.37
Argentina,3256000,7.4,679770,391000,46010.234
Iran,5890000,7.3,3333550,98000,86022.837
Ireland,342000,7.2,26636,3000,5020.199
Israel,557000,6.7,1016900,41000,8922.892
Sudan,2768000,6.6,590170,129000,45992.02
Gambia,137000,6.5,1080,5000,2558.482
Slovakia,355000,6.5,33150,43000,5460.193
Dominica,5000,6.2,,600,72.344
Maldives,23000,6.2,9500,3000,540.985
Armenia,186000,6.1,509240,18000,2971.966
Belarus,581000,6.1,780600,165000,9432.8
Cape Verde,31000,5.7,,19000,567.678
Montserrat,300,5.4,,90,4.965
Antigua and Barbuda,5000,5.4,438,800,99.509
India,71101000,5.3,3900000,1700000,1406631.776
Nicaragua,323000,5.2,261800,8590,6779.1
Estonia,65000,5,38760,18000,1321.91
Lesotho,105000,4.8,2400,5000,2175.699
Morocco,1690000,4.8,588020,91000,37772.756
Bermuda,3000,4.6,,500,61.939
Grenada,5000,4.6,,1000,113.475
Cambodia,717000,4.5,258670,64000,17168.639
Mozambique,1337000,4.5,60000,24000,33089.461
Ivory Coast,1049000,4.4,33045,15000,27742.298
Sint Maarten,2000,4.2,,300,43.966
Gibraltar,1000,4.1,,600,33.704
Seychelles,4000,4.1,798,200,99.426
Botswana,97000,4.1,17100,11000,2441.162
Egypt,3931000,4.1,1544750,1530000,106156.692
Vanuatu,11000,3.9,,350,321.832
Macau,22000,3.6,,,667.49
Hong Kong,265000,3.6,,28000,7604.299
Azerbaijan,362000,3.6,537920,18000,10300.205
Philippines,3776000,3.6,454700,139043,112508.994
China,49735000,3.6,27466400,1971000,1448471.4
Barbados,10000,3.5,1675,2000,288.023
Saint Kitts and Nevis,2000,3.4,,450,53.871
Saint Vincent and the Grenadines,4000,3.4,,854,111.551
Saint Lucia,6000,3.4,,831,185.113
Sao Tome and Principe,7000,3.4,570,300,227.679
Gabon,61000,3.4,5640,4000,2331.533
Turks and Caicos Islands,1000,3.3,,100,39.741
Trinidad and Tobago,43000,3.2,7695,9000,1406.585
Nigeria,6154000,3.2,224200,362400,216746.934
Djibouti,28000,3.1,19855,5000,1016.097
Moldova,121000,3,98600,21000,4013.171
Laos,215000,3,224690,21000,7481.023
Mauritania,120000,2.8,22820,10000,4901.981
Kyrgyzstan,171000,2.8,145010,18000,6728.271
Zimbabwe,455000,2.8,91580,23000,15331.428
Kazakhstan,504000,2.8,375690,65000,19205.043
Northern Mariana Islands,1000,2.6,,80,58.269
Aruba,3000,2.6,,700,107.609
Curacao,4000,2.6,,600,165.529
Haiti,291000,2.6,380,15000,11680.283
Netherlands,442000,2.6,108676,96000,17211.447
Romania,506000,2.6,240180,251000,19031.335
French Polynesia,7000,2.5,,400,284.164
Poland,968000,2.5,307200,188000,37739.785
Republic of the Congo,119000,2.4,12000,11000,5797.805
Ecuador,402000,2.4,253668,41000,18113.361
Sri Lanka,494000,2.4,509700,134000,21575.842
Liberia,97000,2.1,2520,5000,5305.117
Cuba,234000,2.1,958100,42000,11305.652
Cameroon,510000,2.1,27360,15000,27911.548
Algeria,877000,2.1,637720,363000,45350.148
Bolivia,218000,2,87590,42000,11992.656
Burundi,238000,2,75960,24278,12624.84
Senegal,323000,2,16320,6000,17653.671
Peru,633000,2,473400,142000,33684.208
Central African Republic,94000,1.8,8580,10000,5016.678
Myanmar,877000,1.6,788900,76600,55227.143
Vietnam,1562000,1.6,3829200,285000,98953.541
Comoros,12000,1.5,600,2000,907.419
Guinea-Bissau,29000,1.5,10260,4000,2063.367
Nepal,444000,1.5,183540,62000,30225.582
Kenya,750000,1.5,45790,51527,56215.221
Brunei,6000,1.4,20220,4000,445.431
Tuvalu,100,1.2,,26,12.066
DR Congo,946000,1.2,161100,46000,95240.792
Palestine,56000,1.1,44410,33000,5345.541
Tunisia,123000,1.1,68020,73000,12046.656
Mali,206000,1.1,15800,3000,21473.764
Papua New Guinea,79000,1,7200,4800,9292.169
Guinea,130000,1,23080,13000,13865.691
Chad,151000,1,25020,34000,17413.58
Zambia,158000,0.9,41040,16000,19470.234
Burkina Faso,175000,0.9,43780,43000,22102.838
British Virgin Islands,300,0.8,,500,30.596
Kiribati,900,0.8,,200,123.419
Bhutan,6000,0.8,15200,4000,787.941
Togo,58000,0.8,12850,5000,8680.837
Uganda,331000,0.8,116660,54000,48432.863
Tanzania,427000,0.8,190050,37000,63298.55
American Samoa,400,0.7,,90,55.03
Micronesia,700,0.7,,200,117.489
Madagascar,168000,0.7,25320,20000,29178.077
Malaysia,217000,0.7,428170,102000,33181.072
Palau,100,0.5,,30,18.233
Marshall Islands,300,0.5,,80,60.057
Fiji,5000,0.5,16700,2000,909.466
Sierra Leone,35000,0.5,10200,12000,8306.436
Rwanda,66000,0.5,66500,14000,13600.464
Niger,117000,0.5,11110,10000,26083.66
Eritrea,23000,0.4,668550,12000,3662.244
Turkmenistan,23000,0.4,184700,27000,6201.943
Tajikistan,37000,0.4,56490,9000,9957.464
Uzbekistan,127000,0.4,268400,150000,34382.084
Ethiopia,377000,0.4,525600,79000,120812.698
Bangladesh,659000,0.4,410305,333000,167885.689
Timor-Leste,3000,0.3,2527,4000,1369.429
Singapore,20000,0.3,574140,9000,5943.546
Benin,33000,0.3,8700,26000,12784.726
Malawi,47000,0.3,24480,8400,20180.839
North Korea,76000,0.3,8363100,76000,25990.679
Japan,377000,0.3,745514,252000,125584.838
Solomon Islands,1000,0.2,,70,721.159
South Korea,79000,0.2,2688020,115000,51329.899
Taiwan,10000,0,2022150,76000,23888.595
Indonesia,82000,0,1711450,429000,279134.505
