    Date,     CO2
1970-01-15,325.06
1970-02-15,325.99
1970-03-15,326.93
1970-04-15,328.13
1970-05-15,328.08
1970-06-15,327.67
1970-07-15,326.34
1970-08-15,324.68
1970-09-15,323.1
1970-10-15,323.07
1970-11-15,324.01
1970-12-15,325.13
1971-01-15,326.17
1971-02-15,326.68
1971-03-15,327.18
1971-04-15,327.79
1971-05-15,328.93
1971-06-15,328.57
1971-07-15,327.36
1971-08-15,325.43
1971-09-15,323.36
1971-10-15,323.56
1971-11-15,324.8
1971-12-15,326.01
1972-01-15,326.77
1972-02-15,327.63
1972-03-15,327.75
1972-04-15,329.72
1972-05-15,330.07
1972-06-15,329.09
1972-07-15,328.04
1972-08-15,326.32
1972-09-15,324.84
1972-10-15,325.2
1972-11-15,326.5
1972-12-15,327.55
1973-01-15,328.55
1973-02-15,329.56
1973-03-15,330.3
1973-04-15,331.5
1973-05-15,332.48
1973-06-15,332.07
1973-07-15,330.87
1973-08-15,329.31
1973-09-15,327.52
1973-10-15,327.19
1973-11-15,328.17
1973-12-15,328.65
1974-01-15,329.36
1974-02-15,330.71
1974-03-15,331.49
1974-04-15,332.65
1974-05-15,333.1
1974-06-15,332.26
1974-07-15,331.18
1974-08-15,329.4
1974-09-15,327.44
1974-10-15,327.38
1974-11-15,328.46
1974-12-15,329.58
1975-01-15,330.41
1975-02-15,331.41
1975-03-15,332.04
1975-04-15,333.32
1975-05-15,333.98
1975-06-15,333.61
1975-07-15,331.91
1975-08-15,330.06
1975-09-15,328.56
1975-10-15,328.35
1975-11-15,329.5
1975-12-15,330.77
1976-01-15,331.76
1976-02-15,332.58
1976-03-15,333.5
1976-04-15,334.59
1976-05-15,334.89
1976-06-15,334.34
1976-07-15,333.06
1976-08-15,330.95
1976-09-15,329.31
1976-10-15,328.95
1976-11-15,330.32
1976-12-15,331.69
1977-01-15,332.94
1977-02-15,333.43
1977-03-15,334.71
1977-04-15,336.08
1977-05-15,336.76
1977-06-15,336.28
1977-07-15,334.93
1977-08-15,332.76
1977-09-15,331.6
1977-10-15,331.17
1977-11-15,332.41
1977-12-15,333.86
1978-01-15,334.98
1978-02-15,335.4
1978-03-15,336.65
1978-04-15,337.76
1978-05-15,338.02
1978-06-15,337.91
1978-07-15,336.55
1978-08-15,334.69
1978-09-15,332.77
1978-10-15,332.56
1978-11-15,333.93
1978-12-15,334.96
1979-01-15,336.24
1979-02-15,336.77
1979-03-15,337.97
1979-04-15,338.89
1979-05-15,339.48
1979-06-15,339.3
1979-07-15,337.74
1979-08-15,336.1
1979-09-15,333.93
1979-10-15,333.87
1979-11-15,335.3
1979-12-15,336.74
1980-01-15,338.03
1980-02-15,338.37
1980-03-15,340.09
1980-04-15,340.78
1980-05-15,341.48
1980-06-15,341.19
1980-07-15,339.57
1980-08-15,337.61
1980-09-15,335.9
1980-10-15,336.03
1980-11-15,337.12
1980-12-15,338.23
1981-01-15,339.25
1981-02-15,340.5
1981-03-15,341.4
1981-04-15,342.52
1981-05-15,342.93
1981-06-15,342.27
1981-07-15,340.5
1981-08-15,338.45
1981-09-15,336.71
1981-10-15,336.88
1981-11-15,338.38
1981-12-15,339.63
1982-01-15,340.77
1982-02-15,341.63
1982-03-15,342.72
1982-04-15,343.59
1982-05-15,344.16
1982-06-15,343.37
1982-07-15,342.07
1982-08-15,339.83
1982-09-15,338
1982-10-15,337.88
1982-11-15,339.28
1982-12-15,340.51
1983-01-15,341.4
1983-02-15,342.54
1983-03-15,343.12
1983-04-15,344.96
1983-05-15,345.78
1983-06-15,345.34
1983-07-15,344
1983-08-15,342.4
1983-09-15,339.88
1983-10-15,340.01
1983-11-15,341.16
1983-12-15,342.98
1984-01-15,343.82
1984-02-15,344.62
1984-03-15,345.38
1984-04-15,347.15
1984-05-15,347.52
1984-06-15,346.88
1984-07-15,345.47
1984-08-15,343.34
1984-09-15,341.13
1984-10-15,341.4
1984-11-15,343.02
1984-12-15,344.25
1985-01-15,344.99
1985-02-15,346.01
1985-03-15,347.43
1985-04-15,348.34
1985-05-15,348.92
1985-06-15,348.24
1985-07-15,346.54
1985-08-15,344.64
1985-09-15,343.06
1985-10-15,342.78
1985-11-15,344.21
1985-12-15,345.53
1986-01-15,346.28
1986-02-15,346.93
1986-03-15,347.83
1986-04-15,349.53
1986-05-15,350.19
1986-06-15,349.53
1986-07-15,347.92
1986-08-15,345.88
1986-09-15,344.83
1986-10-15,344.16
1986-11-15,345.64
1986-12-15,346.88
1987-01-15,348
1987-02-15,348.47
1987-03-15,349.4
1987-04-15,350.97
1987-05-15,351.84
1987-06-15,351.25
1987-07-15,349.5
1987-08-15,348.09
1987-09-15,346.44
1987-10-15,346.09
1987-11-15,347.54
1987-12-15,348.69
1988-01-15,350.16
1988-02-15,351.47
1988-03-15,351.96
1988-04-15,353.33
1988-05-15,353.97
1988-06-15,353.55
1988-07-15,352.14
1988-08-15,350.19
1988-09-15,348.5
1988-10-15,348.66
1988-11-15,349.85
1988-12-15,351.12
1989-01-15,352.55
1989-02-15,352.86
1989-03-15,353.48
1989-04-15,355.21
1989-05-15,355.47
1989-06-15,354.92
1989-07-15,353.7
1989-08-15,351.47
1989-09-15,349.61
1989-10-15,349.79
1989-11-15,351.1
1989-12-15,352.32
1990-01-15,353.46
1990-02-15,354.5
1990-03-15,355.19
1990-04-15,356
1990-05-15,356.96
1990-06-15,356.04
1990-07-15,354.62
1990-08-15,352.71
1990-09-15,350.77
1990-10-15,350.99
1990-11-15,352.64
1990-12-15,354.02
1991-01-15,354.53
1991-02-15,355.55
1991-03-15,356.96
1991-04-15,358.4
1991-05-15,359.14
1991-06-15,358.04
1991-07-15,355.98
1991-08-15,353.81
1991-09-15,351.95
1991-10-15,352.02
1991-11-15,353.55
1991-12-15,354.79
1992-01-15,355.79
1992-02-15,356.52
1992-03-15,357.61
1992-04-15,358.95
1992-05-15,359.46
1992-06-15,359.05
1992-07-15,356.82
1992-08-15,354.8
1992-09-15,352.81
1992-10-15,353.11
1992-11-15,353.96
1992-12-15,355.2
1993-01-15,356.5
1993-02-15,356.97
1993-03-15,358.18
1993-04-15,359.26
1993-05-15,360.08
1993-06-15,359.4
1993-07-15,357.38
1993-08-15,355.33
1993-09-15,353.5
1993-10-15,353.8
1993-11-15,355.15
1993-12-15,356.62
1994-01-15,358.19
1994-02-15,358.73
1994-03-15,359.79
1994-04-15,361.09
1994-05-15,361.52
1994-06-15,360.77
1994-07-15,359.38
1994-08-15,357.31
1994-09-15,355.68
1994-10-15,355.83
1994-11-15,357.42
1994-12-15,358.87
1995-01-15,359.81
1995-02-15,360.84
1995-03-15,361.48
1995-04-15,363.3
1995-05-15,363.64
1995-06-15,363.11
1995-07-15,361.75
1995-08-15,359.31
1995-09-15,357.91
1995-10-15,357.62
1995-11-15,359.42
1995-12-15,360.56
1996-01-15,361.91
1996-02-15,363.11
1996-03-15,363.88
1996-04-15,364.58
1996-05-15,365.29
1996-06-15,364.84
1996-07-15,363.52
1996-08-15,361.35
1996-09-15,359.32
1996-10-15,359.48
1996-11-15,360.64
1996-12-15,362.21
1997-01-15,363.07
1997-02-15,363.87
1997-03-15,364.44
1997-04-15,366.23
1997-05-15,366.68
1997-06-15,365.52
1997-07-15,364.36
1997-08-15,362.39
1997-09-15,360.08
1997-10-15,360.67
1997-11-15,362.32
1997-12-15,364.16
1998-01-15,365.22
1998-02-15,366.04
1998-03-15,367.2
1998-04-15,368.5
1998-05-15,369.19
1998-06-15,368.77
1998-07-15,367.53
1998-08-15,365.67
1998-09-15,363.8
1998-10-15,364.13
1998-11-15,365.36
1998-12-15,366.87
1999-01-15,368.05
1999-02-15,368.77
1999-03-15,369.49
1999-04-15,371.04
1999-05-15,370.9
1999-06-15,370.25
1999-07-15,369.17
1999-08-15,366.83
1999-09-15,364.54
1999-10-15,365.04
1999-11-15,366.58
1999-12-15,367.92
2000-01-15,369.05
2000-02-15,369.37
2000-03-15,370.42
2000-04-15,371.57
2000-05-15,371.74
2000-06-15,371.6
2000-07-15,370.02
2000-08-15,368.03
2000-09-15,366.53
2000-10-15,366.64
2000-11-15,368.2
2000-12-15,369.44
2001-01-15,370.2
2001-02-15,371.42
2001-03-15,372.04
2001-04-15,372.78
2001-05-15,373.94
2001-06-15,373.23
2001-07-15,371.54
2001-08-15,369.47
2001-09-15,367.88
2001-10-15,368.01
2001-11-15,369.6
2001-12-15,371.15
2002-01-15,372.36
2002-02-15,373
2002-03-15,373.44
2002-04-15,374.77
2002-05-15,375.48
2002-06-15,375.33
2002-07-15,373.95
2002-08-15,371.41
2002-09-15,370.63
2002-10-15,370.18
2002-11-15,372.01
2002-12-15,373.71
2003-01-15,374.61
2003-02-15,375.55
2003-03-15,376.04
2003-04-15,377.58
2003-05-15,378.28
2003-06-15,378.07
2003-07-15,376.54
2003-08-15,374.42
2003-09-15,372.92
2003-10-15,372.94
2003-11-15,374.29
2003-12-15,375.63
2004-01-15,376.73
2004-02-15,377.31
2004-03-15,378.33
2004-04-15,380.44
2004-05-15,380.56
2004-06-15,379.49
2004-07-15,377.71
2004-08-15,375.77
2004-09-15,373.99
2004-10-15,374.17
2004-11-15,375.79
2004-12-15,377.39
2005-01-15,378.29
2005-02-15,379.56
2005-03-15,380.06
2005-04-15,382.01
2005-05-15,382.21
2005-06-15,382.05
2005-07-15,380.63
2005-08-15,378.64
2005-09-15,376.38
2005-10-15,376.77
2005-11-15,378.27
2005-12-15,379.92
2006-01-15,381.33
2006-02-15,381.98
2006-03-15,382.53
2006-04-15,384.33
2006-05-15,384.89
2006-06-15,383.99
2006-07-15,382.25
2006-08-15,380.44
2006-09-15,378.77
2006-10-15,379.03
2006-11-15,380.11
2006-12-15,381.62
2007-01-15,382.55
2007-02-15,383.68
2007-03-15,384.31
2007-04-15,386.2
2007-05-15,386.38
2007-06-15,385.85
2007-07-15,384.42
2007-08-15,381.81
2007-09-15,380.83
2007-10-15,380.83
2007-11-15,382.32
2007-12-15,383.58
2008-01-15,385.04
2008-02-15,385.81
2008-03-15,385.8
2008-04-15,386.74
2008-05-15,388.49
2008-06-15,388.02
2008-07-15,386.22
2008-08-15,384.05
2008-09-15,383.05
2008-10-15,382.75
2008-11-15,383.98
2008-12-15,385.08
2009-01-15,386.63
2009-02-15,387.1
2009-03-15,388.5
2009-04-15,389.54
2009-05-15,390.15
2009-06-15,389.6
2009-07-15,388.05
2009-08-15,386.06
2009-09-15,384.64
2009-10-15,384.32
2009-11-15,386.05
2009-12-15,387.48
2010-01-15,388.55
2010-02-15,390.08
2010-03-15,391.02
2010-04-15,392.39
2010-05-15,393.24
2010-06-15,392.26
2010-07-15,390.35
2010-08-15,388.53
2010-09-15,386.85
2010-10-15,387.18
2010-11-15,388.69
2010-12-15,389.83
2011-01-15,391.33
2011-02-15,391.96
2011-03-15,392.49
2011-04-15,393.4
2011-05-15,394.33
2011-06-15,393.75
2011-07-15,392.64
2011-08-15,390.25
2011-09-15,389.05
2011-10-15,388.98
2011-11-15,390.3
2011-12-15,391.86
2012-01-15,393.13
2012-02-15,393.42
2012-03-15,394.43
2012-04-15,396.51
2012-05-15,396.96
2012-06-15,395.97
2012-07-15,394.6
2012-08-15,392.61
2012-09-15,391.2
2012-10-15,391.09
2012-11-15,393.03
2012-12-15,394.42
2013-01-15,395.69
2013-02-15,396.94
2013-03-15,397.35
2013-04-15,398.44
2013-05-15,400.06
2013-06-15,398.95
2013-07-15,397.45
2013-08-15,395.49
2013-09-15,393.47
2013-10-15,393.77
2013-11-15,395.27
2013-12-15,396.9
2014-01-15,398.01
2014-02-15,398.18
2014-03-15,399.56
2014-04-15,401.44
2014-05-15,401.98
2014-06-15,401.41
2014-07-15,399.17
2014-08-15,397.3
2014-09-15,395.49
2014-10-15,395.74
2014-11-15,397.32
2014-12-15,398.88
2015-01-15,399.94
2015-02-15,400.4
2015-03-15,401.6
2015-04-15,403.53
2015-05-15,404.04
2015-06-15,402.81
2015-07-15,401.54
2015-08-15,398.93
2015-09-15,397.43
2015-10-15,398.22
