Province,Year,Turnout,Source,Flag
Nova Scotia,2021,55.1,https://electionsnovascotia.ca/sites/default/files/ENS_Volume1_PostElectionReport.pdf,
Nova Scotia,2017,53.4,https://electionsnovascotia.ca/sites/default/files/ENS_Volume1_PostElectionReport.pdf,
Nova Scotia,2013,58.2,https://electionsnovascotia.ca/sites/default/files/Web_SOVColour_Final[1].pdf,
Nova Scotia,2009,57.9,https://electionsnovascotia.ca/sites/default/files/Web_SOVColour_Final[1].pdf,
Nova Scotia,2006,59.9,https://electionsnovascotia.ca/sites/default/files/Web_SOVColour_Final[1].pdf,
Nova Scotia,2003,65.6,https://electionsnovascotia.ca/sites/default/files/Web_SOVColour_Final[1].pdf,
Nova Scotia,1999,68.1,https://electionsnovascotia.ca/sites/default/files/Web_SOVColour_Final[1].pdf,
Nova Scotia,1998,69.5,https://electionsnovascotia.ca/sites/default/files/Web_SOVColour_Final[1].pdf,
Nova Scotia,1993,75.4,https://electionsnovascotia.ca/sites/default/files/Web_SOVColour_Final[1].pdf,
Nova Scotia,1988,75.8,https://electionsnovascotia.ca/sites/default/files/Web_SOVColour_Final[1].pdf,
Nova Scotia,1984,67.5,https://electionsnovascotia.ca/sites/default/files/Web_SOVColour_Final[1].pdf,
Nova Scotia,1981,74.2,https://electionsnovascotia.ca/sites/default/files/Web_SOVColour_Final[1].pdf,
Nova Scotia,1978,78.2,https://electionsnovascotia.ca/sites/default/files/Web_SOVColour_Final[1].pdf,
Nova Scotia,1974,77.9,https://electionsnovascotia.ca/sites/default/files/Web_SOVColour_Final[1].pdf,
Nova Scotia,1970,77.3,https://electionsnovascotia.ca/sites/default/files/Web_SOVColour_Final[1].pdf,
Nova Scotia,1967,77,https://electionsnovascotia.ca/sites/default/files/Web_SOVColour_Final[1].pdf,
Nova Scotia,1963,77.9,https://electionsnovascotia.ca/sites/default/files/Web_SOVColour_Final[1].pdf,
Nova Scotia,1960,82,https://electionsnovascotia.ca/sites/default/files/Web_SOVColour_Final[1].pdf,
British Columbia,1983,70.5,https://elections.bc.ca/resources/statistics/,
British Columbia,1986,65.8,https://elections.bc.ca/resources/statistics/,
British Columbia,1991,64.03,https://elections.bc.ca/resources/statistics/,
British Columbia,1996,59.11,https://elections.bc.ca/resources/statistics/,
British Columbia,2001,55.44,https://elections.bc.ca/resources/statistics/,
British Columbia,2005,58.19,https://elections.bc.ca/resources/statistics/,
British Columbia,2009,50.99,https://elections.bc.ca/resources/statistics/,
British Columbia,2013,55.32,https://elections.bc.ca/resources/statistics/,
British Columbia,2017,57.73,https://elections.bc.ca/resources/statistics/,
Alberta,2019,67.5,https://www.elections.ab.ca/elections/election-results/historical-results/,
Alberta,2015,57,https://www.elections.ab.ca/elections/election-results/historical-results/,
Alberta,2012,54.4,https://www.elections.ab.ca/elections/election-results/historical-results/,
Alberta,2008,40.6,https://www.elections.ab.ca/elections/election-results/historical-results/,
Alberta,2004,45.1,https://www.elections.ab.ca/elections/election-results/historical-results/,
Alberta,2001,53.4,https://www.elections.ab.ca/elections/election-results/historical-results/,
Alberta,1997,53.8,https://www.elections.ab.ca/elections/election-results/historical-results/,
Alberta,1993,60.2,https://www.elections.ab.ca/elections/election-results/historical-results/,
Alberta,1989,53.6,https://www.elections.ab.ca/elections/election-results/historical-results/,
Alberta,1986,47.3,https://www.elections.ab.ca/elections/election-results/historical-results/,
Alberta,1982,66,https://www.elections.ab.ca/elections/election-results/historical-results/,
Alberta,1979,58.7,https://www.elections.ab.ca/elections/election-results/historical-results/,
Alberta,1975,59.6,https://www.elections.ab.ca/elections/election-results/historical-results/,
Manitoba,2019,55,https://www.electionsmanitoba.ca/downloads/PDF_Summary_GE2019.pdf,
Manitoba,2016,57.4,https://www.electionsmanitoba.ca/en/Results/Elections/2016,
Manitoba,2011,55.77,https://www.electionsmanitoba.ca/en/Results/Elections/2011,
Manitoba,2007,56.76,https://www.electionsmanitoba.ca/en/Results/Elections/2007,
Manitoba,2003,54.17,https://www.electionsmanitoba.ca/en/Results/Elections/2003,
Manitoba,1999,68.1,https://www.electionsmanitoba.ca/en/Results/Elections/1999,
Saskatchewan,1982,79.8,https://www.elections.sk.ca/reports-data/sk-voter-participation-1982-2016/,
Saskatchewan,1986,76.8,https://www.elections.sk.ca/reports-data/sk-voter-participation-1982-2016/,
Saskatchewan,1991,77.4,https://www.elections.sk.ca/reports-data/sk-voter-participation-1982-2016/,
Saskatchewan,1995,57.4,https://www.elections.sk.ca/reports-data/sk-voter-participation-1982-2016/,
Saskatchewan,1999,55.9,https://www.elections.sk.ca/reports-data/sk-voter-participation-1982-2016/,
Saskatchewan,2003,58.3,https://www.elections.sk.ca/reports-data/sk-voter-participation-1982-2016/,
Saskatchewan,2007,60.8,https://www.elections.sk.ca/reports-data/sk-voter-participation-1982-2016/,
Saskatchewan,2011,51.1,https://www.elections.sk.ca/reports-data/sk-voter-participation-1982-2016/,
Saskatchewan,2016,53.5,https://www.elections.sk.ca/reports-data/sk-voter-participation-1982-2016/,
Ontario,1867,73.8557,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2022,
Ontario,1871,62.92744,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2023,
Ontario,1875,67.27566,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2024,
Ontario,1879,63.20109,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2025,
Ontario,1883,63.45886,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2026,
Ontario,1886,69.69129,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2027,
Ontario,1890,69.59563,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2028,
Ontario,1894,70.29895,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2029,
Ontario,1898,82.05175,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2030,
Ontario,1902,74.55154,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2031,
Ontario,1905,72.68232,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2032,
Ontario,1908,67.086,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2033,
Ontario,1911,64.26433,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2034,
Ontario,1914,64.42541,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2035,
Ontario,1919,85.52509,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2036,
Ontario,1923,57.73963,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2037,
Ontario,1926,63.88659,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2038,
Ontario,1929,56.62591,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2039,
Ontario,1934,75.24224,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2040,
Ontario,1937,70.96289,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2041,
Ontario,1943,58.73646,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2042,
Ontario,1945,72.7772,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2043,
Ontario,1948,67.66229,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2044,
Ontario,1951,65.57323,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2045,
Ontario,1955,61.40036,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2046,
Ontario,1959,59.7228,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2047,
Ontario,1963,63.56121,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2048,
Ontario,1967,66.2213,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2049,
Ontario,1971,73.52147,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2050,
Ontario,1975,67.81813,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2051,
Ontario,1977,66.11031,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2052,
Ontario,1981,58.03882,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2053,
Ontario,1985,61.5454,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2054,
Ontario,1987,62.69543,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2055,
Ontario,1990,64.45039,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2056,
Ontario,1995,62.99714,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2057,
Ontario,1999,58.30974,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2058,
Ontario,2003,56.8679,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2059,
Ontario,2007,52.09172,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2060,
Ontario,2011,48.18485,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2061,
Ontario,2014,51.28571,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2062,
Ontario,2018,56.66844,https://results.elections.on.ca/en/data-explorer?fromYear=1867&toYear=2063,
New Brunswick,2020,66.14,https://www.electionsnb.ca/content/dam/enb/pdf/2020-prov-rpt.pdf,
