PARTNER (Labels),Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Liechtenstein,Norway,Switzerland,United Kingdom,Montenegro,North Macedonia,Albania,Serbia,Turkey,Andorra,Belarus,Bosnia and Herzegovina,Gibraltar (UK),Kosovo (under United Nations Security Council Resolution 1244/99),Moldova,Russia,Ukraine,Other countries of former Soviet Union (before 1991),Other European countries (aggregate changing according to the context),Angola,Cameroon,Congo,Democratic Republic of the Congo,Equatorial Guinea,Gabon,São Tomé and Príncipe,Djibouti,Eritrea,Ethiopia,Kenya,Madagascar,Mauritius,Mozambique,Uganda,Tanzania,Algeria,Egypt,Libya,Morocco,South Sudan,Sudan,Tunisia,Namibia,South Africa,Benin,Cabo Verde,Côte d'Ivoire,Ghana,Guinea-Bissau,Liberia,Mauritania,Niger,Nigeria,Senegal,Sierra Leone,Togo,Other African countries (aggregate changing according to the context),Canada,United States,Aruba (NL),Bahamas,Barbados,British Virgin Islands (UK),Cuba,Curaçao,Dominican Republic,Jamaica,Trinidad and Tobago,Belize,Costa Rica,Guatemala,Honduras,Mexico,Panama,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Peru,Uruguay,Venezuela,Other American countries (aggregate changing according to the context),Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,China including Hong Kong,Hong Kong,Japan,Mongolia,North Korea,South Korea,Taiwan,Bangladesh,India,Iran,Nepal,Pakistan,Sri Lanka,Brunei Darussalam,Cambodia,Indonesia,Laos,Malaysia,Myanmar/Burma,Philippines,Singapore,Thailand,Timor-Leste,Vietnam,Armenia,Azerbaijan,Bahrain,Georgia,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Syria,United Arab Emirates,Yemen,Other Near and Middle East Asian countries,Other Asian countries (aggregate changing according to the context),Australia,New Zealand,New Caledonia (FR),Papua New Guinea,Marshall Islands,Total,Not specified
Belgium,0,0,0,0,92.2,0,0,0,0,113.7,0,0,0,0,0,0,0,0,7758.9,0,0,0,0,0,0,0,0,0,0,8691.7,0,428.3,0,0,0,0,0,0,0,0,0,0,0,1409.8,0,0,0,82.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2505.4,0,0,0,0,0,0,0,0,0,0,0,21665.7,0
Bulgaria,0,0,0,0,0,0,0,635.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2201.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2925.94,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7589.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7589.97,0
Denmark,0,0,0,0,2663.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2666.48,3.14
Germany (until 1990 former territory of the FRG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10211.68,0,0,0,0,0,0,0,0,0,0,16484.58,0,0,0,0,0,0,0,0,0,0,0,0,0,52463.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80439.02,1279.19
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,225,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3437,0
Greece,0,0,0,0,0,0,0,0,0,95.13,0,0,0,0,0,0,0,0,88.94,0,0,0,0,0,0,0,0,0,0,82.5,0,0,0,0,0,0,555.35,0,0,0,0,0,0,2304.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.32,76.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.59,0,0,0,0,0,1477.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02,0,0,0,0,0,0,0,0,682.22,0,0,0,0,0,0,0,0,0,0,0,5902.73,0
Spain,50,0,0,0,0,0,0,0,0,1977,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,1629,0,0,0,0,0,0,0,0,0,0,20,0,0,3387,0,0,0,361,85,0,0,940,0,0,0,0,0,0,0,0,0,0,0,9447,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3931,0,0,0,0,0,5080,0,0,0,0,0,0,0,0,2142,0,0,0,0,0,0,150,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2868,0,0,0,0,0,0,0,0,0,0,0,32485,0
France,637.19,0,0,0,209.18,0,0,0,383.12,0,0,0,0,0,0,0,0,0,3861.43,0,0,0,0,0,0,0,0,0,0,16652.07,0,0,0,0,0,0,0,0,0,0,0,0,0,7780.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3623.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3421.47,0,0,0,0,0,1123.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694.22,0,0,0,0,0,0,0,0,0,0,0,46321.13,7935.26
