PARTNER (Labels),Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Liechtenstein,Norway,Switzerland,United Kingdom,Montenegro,North Macedonia,Albania,Serbia,Turkey,Andorra,Belarus,Bosnia and Herzegovina,Gibraltar (UK),Kosovo (under United Nations Security Council Resolution 1244/99),Moldova,Russia,Ukraine,Other countries of former Soviet Union (before 1991),Other European countries (aggregate changing according to the context),Angola,Cameroon,Congo,Democratic Republic of the Congo,Equatorial Guinea,Gabon,São Tomé and Príncipe,Djibouti,Eritrea,Ethiopia,Kenya,Madagascar,Mauritius,Mozambique,Uganda,Tanzania,Algeria,Egypt,Libya,Morocco,South Sudan,Sudan,Tunisia,Namibia,South Africa,Benin,Cabo Verde,Côte d'Ivoire,Ghana,Guinea-Bissau,Liberia,Mauritania,Niger,Nigeria,Senegal,Sierra Leone,Togo,Other African countries (aggregate changing according to the context),Canada,United States,Aruba (NL),Bahamas,Barbados,British Virgin Islands (UK),Cuba,Curaçao,Dominican Republic,Jamaica,Trinidad and Tobago,Belize,Costa Rica,Guatemala,Honduras,Mexico,Panama,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Peru,Uruguay,Venezuela,Other American countries (aggregate changing according to the context),Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,China including Hong Kong,Hong Kong,Japan,Mongolia,North Korea,South Korea,Taiwan,Bangladesh,India,Iran,Nepal,Pakistan,Sri Lanka,Brunei Darussalam,Cambodia,Indonesia,Laos,Malaysia,Myanmar/Burma,Philippines,Singapore,Thailand,Timor-Leste,Vietnam,Armenia,Azerbaijan,Bahrain,Georgia,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Syria,United Arab Emirates,Yemen,Other Near and Middle East Asian countries,Other Asian countries (aggregate changing according to the context),Australia,New Zealand,New Caledonia (FR),Papua New Guinea,Marshall Islands,Total,Not specified
Belgium,0.00,0.00,0.00,71.10,1124.40,0.00,2.60,0.00,514.50,819.50,0.00,188.00,0.00,0.00,195.70,0.00,6.00,0.00,10391.50,0.00,355.10,74.80,0.00,0.00,0.00,56.20,350.20,0.00,0.00,3764.60,99.40,3940.00,0.00,0.00,0.00,0.00,29.70,0.00,0.00,0.00,0.00,0.00,0.00,11708.40,0.00,0.00,0.00,118.40,0.00,0.00,0.00,0.00,50.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,367.90,8.10,93.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2490.30,0.00,0.00,0.00,110.50,635.20,3671.70,0.00,65.60,0.00,0.00,281.60,0.00,0.00,0.00,85.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2377.50,0.00,0.00,0.00,0.00,7.10,0.00,0.00,0.00,0.00,58.70,0.00,0.00,112.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1220.70,0.00,0.00,254.20,0.00,0.00,35.20,6890.80,0.00,188.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52845.90,16.80
Bulgaria,13.48,0.00,4.13,0.03,9.69,0.00,0.00,260.32,1.86,3.18,0.03,18.95,0.00,0.01,0.63,0.00,24.81,0.00,6.17,6.07,1.71,0.01,702.46,0.52,50.27,0.02,0.31,0.00,0.00,6.12,0.08,4.14,0.00,0.33,5.39,139.59,3.94,0.21,1.28,1.83,0.00,2.59,1.59,571.96,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.30,21.68,0.41,0.00,0.00,0.00,3.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,289.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,100.08,0.00,0.00,0.00,0.00,0.23,0.00,0.05,0.00,0.23,0.00,0.00,0.00,0.45,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.00,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7144.50,4859.85
Czechia,40.00,0.00,0.00,0.00,1960.00,0.00,0.00,0.00,3.00,29.00,0.00,8.00,0.00,0.00,0.00,0.00,30.00,0.00,74.00,295.00,555.00,0.00,5.00,0.00,1145.00,0.00,1.00,0.00,0.00,215.00,1.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,3027.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.00,0.00,0.00,0.00,0.00,0.00,730.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,567.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1426.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10391.00,0.00
Denmark,187.73,0.00,0.00,0.00,254.69,68.54,0.00,0.00,42.10,11.57,0.00,0.01,0.00,0.00,33.18,0.00,0.00,0.00,641.58,0.00,167.77,0.00,0.00,0.00,0.00,257.81,1238.82,0.00,0.00,2821.72,0.00,499.36,0.00,0.00,0.00,0.00,99.48,0.00,0.00,0.00,0.00,0.00,0.00,1735.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00,0.00,81.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,674.12,0.00,0.00,0.00,0.00,0.00,1944.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.15,0.00,62.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116.93,0.00,0.00,312.09,64.53,0.00,79.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11653.34,188.27
Germany (until 1990 former territory of the FRG),5354.00,0.00,484.00,246.00,0.00,27.00,0.00,52.00,73.00,946.00,6.00,472.00,0.00,48.00,0.00,2.00,20.00,0.00,15356.00,460.00,508.00,0.00,38.00,3.00,165.00,333.00,540.00,0.00,0.00,8534.00,1687.00,9848.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,34902.00,0.00,0.00,0.00,3.00,20.00,28.00,0.00,0.00,163.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1863.00,1240.00,1882.00,0.00,0.00,0.00,116.00,0.00,57.00,0.00,0.00,90.00,228.00,0.00,0.00,0.00,0.00,5216.00,0.00,39.00,0.00,902.00,578.00,9885.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,0.00,187.00,0.00,0.00,0.00,0.00,141.00,7427.00,0.00,0.00,0.00,0.00,20.00,0.00,5.00,0.00,0.00,4.00,5.00,0.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,2163.00,0.00,0.00,2233.00,0.00,0.00,448.00,0.00,0.00,18.00,2291.00,0.00,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117558.00,0.00
Estonia,0.00,0.00,0.00,13.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,780.44,0.00,0.00,0.00,1.00,0.00,5.00,0.00,0.00,0.00,0.00,412.48,81.00,0.00,0.00,1.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,182.00,0.00,0.00,0.00,0.00,714.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2232.08,0.00
Ireland,87.33,0.00,0.00,0.24,13.50,0.00,0.00,0.00,118.02,86.04,0.00,1.35,0.00,14.92,0.58,0.00,0.02,0.00,346.89,0.38,2.18,16.11,0.00,0.00,0.00,94.11,58.43,0.00,0.00,528.20,0.01,3290.29,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,375.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.57,0.00,0.00,0.00,0.00,270.42,2395.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,203.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7965.55,0.00
Greece,90.02,150.76,0.00,0.04,4.29,2.09,0.00,0.00,663.18,158.55,11.61,203.01,7.50,0.06,0.02,0.00,0.00,58.00,701.19,50.89,0.10,31.06,181.53,0.18,0.00,0.00,29.29,0.00,0.00,150.35,105.45,291.12,0.00,0.24,92.90,0.90,98.58,0.00,0.00,0.00,0.00,4.09,0.00,8244.44,33.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1310.32,1626.18,172.63,0.00,0.00,0.00,79.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,994.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.47,0.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3931.25,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,181.14,0.00,0.00,0.00,0.00,1290.77,0.00,4.17,8148.96,297.16,0.00,0.00,0.00,0.00,0.00,1761.87,0.00,77.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31298.00,5.37
Spain,549.00,27.00,0.00,141.00,15.00,61.00,133.00,365.00,0.00,519.00,117.00,2994.00,0.00,44.00,70.00,0.00,0.00,140.00,986.00,0.00,0.00,1221.00,70.00,0.00,0.00,178.00,449.00,0.00,0.00,1023.00,20.00,1618.00,0.00,0.00,539.00,1.00,311.00,0.00,0.00,0.00,562.00,0.00,0.00,4096.00,7.00,0.00,895.00,1696.00,499.00,745.00,0.00,735.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2386.00,403.00,1967.00,128.00,0.00,0.00,61.00,0.00,0.00,0.00,0.00,193.00,127.00,0.00,0.00,0.00,0.00,10840.00,0.00,0.00,0.00,0.00,633.00,4978.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,407.00,0.00,0.00,0.00,0.00,8443.00,0.00,12.00,0.00,3082.00,0.00,497.00,0.00,0.00,0.00,1405.00,0.00,4518.00,0.00,0.00,0.00,0.00,41.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,112.00,0.00,0.00,0.00,0.00,0.00,0.00,247.00,0.00,96.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1771.00,0.00,0.00,3505.00,31.00,0.00,44.00,0.00,0.00,47.00,6531.00,0.00,318.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73748.00,0.00
France,4986.00,60.00,2.00,55.00,2138.00,0.00,66.00,306.00,2993.00,0.00,13.00,1844.00,0.00,3.00,4.00,25.00,1.00,51.00,3750.00,3.00,155.00,255.00,2.00,0.00,1.00,277.00,679.00,0.00,0.00,4121.00,28.00,1624.00,0.00,0.00,0.00,0.00,170.00,0.00,0.00,0.00,0.00,0.00,0.00,10159.00,6.00,0.00,0.00,1440.00,0.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5740.00,64.00,955.00,2.00,0.00,0.00,77.00,0.00,6.00,0.00,0.00,138.00,132.00,0.00,0.00,0.00,0.00,3233.00,0.00,0.00,0.00,963.00,127.00,7887.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,22.00,0.00,0.00,0.00,0.00,1.00,0.00,139.00,0.00,401.00,0.00,74.00,0.00,0.00,0.00,0.00,142.00,5358.00,0.00,0.00,0.00,0.00,165.00,0.00,3.00,0.00,0.00,376.00,0.00,0.00,841.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,357.00,0.00,0.00,918.00,0.00,0.00,0.00,0.00,447.00,271.00,0.00,951.00,48.00,0.00,615.00,0.00,0.00,561.00,7677.00,0.00,1450.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,76639.11,1217.11
