Private sector donor (company or foundation),Est USD value cash donation,Est USD value in-kind donation,One-sentence description for dataviz,Business Sector,Country of Registration,Recipient,Last updated
AccelByte Inc.,16550,0,Donation from video game studio.,Information technology,United States of America,Ukraine Humanitarian Fund (UHF),3/18/2022
AGCO Agriculture Foundation ,100000,0,"Company-sponsored foundation. The AGCO Agriculture Foundation (AAF) announced a $100,000 donation to the World Food Program USA to support emergency relief efforts to provide food assistance for families affected by the conflict inside Ukraine and neighboring countries.",Industrial/manufacturing,United States,World Food Programme (WFP) USA,3/21/2022
Allianz SE,1090000,0,"Corporate giving program. To support humanitarian efforts for Ukraine, Allianz donated €1 million to the German Red Cross who can immediately assist displaced people and those in need. EUR 1000000.",Financial services,Germany,German Red Cross,3/21/2022
American Express Company,250000,0,"Corporate giving program. American Express donated $250,000 to International Rescue Committee (IRC) to provide necessary resources where they are needed most in Ukraine, including for those who have fled their homes. USD 250000.",Financial services,United States,International Rescue Committee (IRC),3/21/2022
American Express Company,250000,0,"Corporate giving program. American Express donated $250,000 to International Medical Corps (IMC), which has deployed mobile medical teams in Ukraine to provide essential emergency and primary health services; mental health and psychosocial support services; and COVID-19 awareness and prevention services to help keep affected populations safe from the pandemic. USD 250000.",Financial services,United States,International Medical Corps (IMC),3/21/2022
American Express Company,250000,0,"Corporate giving program. American Express donated $250,000 to American Red Cross to support coordinated relief efforts by the International Federation of Red Cross and Red Crescent Societies (IFRC) and other Red Cross partners who are responding to urgent needs and providing technical assistance on the ground in Ukraine. USD 250000.",Financial services,United States,American Red Cross,3/21/2022
American Express Company,250000,0,"Corporate giving program. American Express donated $250,000 toward UNICEF’s emergency appeal, launched last week, to support children and families as the Ukraine crisis escalates, with life-saving programs, safe water, emergency health, hygiene, and education aid and other immediate help for those in need of support. USD 250000.",Financial services,United States,United Nations Children's Fund (UNICEF),3/21/2022
AmerisourceBergen,50000,0,Corporate giving program. AmerisourceBergen has approved $100k in donations towards the humanitarian crisis taking place in Ukraine. $50k of the donation is designated for Direct Relief. USD 50000.,Health care,United States,Direct Relief,3/21/2022
"Amgen Foundation, Inc.",250000,0,"Company-sponsored foundation. To assist the Ukrainian people, the Amgen Foundation has approved two disaster relief grants of $250,000 each to International Medical Corps and Project Hope. The Amgen Foundation has also opened the Amgen Foundation Disaster Relief Matching Gifts Program, allowing all staff globally to receive the Foundation match when they donate to select charities to support humanitarian efforts related to the conflict in Ukraine. USD 250000.",Health care,United States,International Medical Corps (IMC),3/21/2022
"Amgen Foundation, Inc.",250000,0,"Company-sponsored foundation. To assist the Ukrainian people, the Amgen Foundation has approved two disaster relief grants of $250,000 each to International Medical Corps and Project Hope. The Amgen Foundation has also opened the Amgen Foundation Disaster Relief Matching Gifts Program, allowing all staff globally to receive the Foundation match when they donate to select charities to support humanitarian efforts related to the conflict in Ukraine. USD 250000.",Health care,United States,Project Hope,3/21/2022
Arc'teryx,19700,0,"Donation of CAD 25,000 from Canadian outdoor clothing and climbing gear company.",Consumer goods,Canada,Ukraine Humanitarian Fund (UHF),3/24/2022
Ares Management Corporation,100000,0,"Corporate giving program. Ares Management Corporation (""Ares"") will donate $100,000 in corporate contributions to CARE International to provide water and hygiene kits for Ukraine. USD 100000.",Financial services,United States,CARE International,3/21/2022
Ares Management Corporation,100000,0,"Corporate giving program. Ares Management Corporation (""Ares"") will donate $100,000 in corporate contributions to Voices of Children Foundation to offer psychological and evacuation support for children of Ukraine. USD 100000.",Financial services,United States,Voices of Children Foundation,3/21/2022
Ares Management Corporation,100000,0,"Corporate giving program. Ares Management Corporation (""Ares"") will donate $100,000 to World Central Kitchen to ensure meals for both those who emigrate to neighboring countries and those who remain in Ukraine. USD 100000.",Financial services,United States,World Central Kitchen,3/21/2022
Armani Group ,545000,0,"Corporate giving program. The Armani Group announced a donation of €500,000 to UNHCR for the assistance and protection of those who have been forced to flee the war in Ukraine.  EUR 500000.",Consumer goods,Italy,United Nations High Commissioner for Refugees (UNHCR),3/24/2022
Asda Stores Ltd,330000,0,"Corporate giving program. Asda will be making a £250k donation to UNICEF to support the setup of a Blue Dot centre, which will provide a safe space for up to 5,000 children and families and give them access to things like emergency water and hygiene kits on the ground. GBP £250,000.",Consumer goods,United Kingdom,United Nations Children's Fund (UNICEF),3/21/2022
aviado GmbH,16667,0,Donation from specialist aviation and rail consultancy.,Consulting services,Germany,Ukraine Humanitarian Fund (UHF),3/24/2022
Backcountry,10000,0,"Corporate giving program. Backcountry donated $10,000 to CARE, which is helping refugees with emergency assistance.o help with refugee assistance. USD 10000.",Consumer goods,United States,CARE International,3/21/2022
Bain & Company,1000000,0,Corporate giving program. Bain & Company has announced a $1M cash contribution to United Nations High Commissioner for Refugees for relief efforts in Ukraine. USD 1000000.,Financial services,United States,United Nations High Commissioner for Refugees (UNHCR),3/21/2022
Baker Creek Heirloom Seed Company ,1600000,0,Corporate giving program. Baker Creek Heirloom Seed Company has raised $1.6 million in aid for Ukraine thorough its seed sales from February 25 through 27. All donations will go to World Help to provide humanitarian aid. USD 1600000.,Consumer goods,United States,World Help,3/21/2022
Bandai Namco,854000,0,"Corporate giving program. Bandai Namco announced that it will donate 100 million yen (around $854,000) to the charity Save the Children in support of Ukraine. USD 854000.",Consumer goods,Japan,Save the Children,3/21/2022
Bank of Ireland,109000,0,"Bank of Ireland donation of €100,000 to UNICEF Ireland, as the charity works to deliver aid to people fleeing the Ukraine conflict.",Financial services,Ireland,Irish Red Cross Society,3/2/2022
Banque de France,10978.61,0,"Banque de France donation of €100,000 to Ukraine Humanitarian Fund.",Financial services,France,Ukraine Humanitarian Fund (UHF),3/11/2022
Barratt Foundation,66000,0,"Company-sponsored foundation. The Barratt Foundation has donated £50,000 to The Sun’s Ukraine Humanitarian Appeal with the Red Cross. GBP £50,000.",Communication services,United Kingdom,British Red Cross,3/21/2022
BASF,1101820,0,,Industrial/manufacturing,Germany, German Red Cross,3/22/2022
BBVA,545000,0,"BBVA will donate one million euros, which will be distributed 50 percent between UNICEF and UNHCR, to respond to the humanitarian emergency in Ukraine. ",Financial services,Spain,United Nations Children's Fund (UNICEF),3/24/2022
BBVA,545000,0,"BBVA will donate one million euros, which will be distributed 50 percent between UNICEF and UNHCR, to respond to the humanitarian emergency in Ukraine. ",Financial services,Spain,United Nations High Commisioner for Refugees (UNHCR) United Kingdom,3/24/2022
BentallGreenOak,39500,0,"Corporate giving program. BentallGreenOak has donated $50,000 to UNICEF to support children and families in Ukraine. CAD 50000.",Real estate,Canada,United Nations Children's Fund (UNICEF),3/21/2022
