data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8914482,804,UKR53469,53469,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,"Civilians (Ukraine)",,7,78,Europe,Ukraine,Donetsk,Pokrovskyi,Avdiivska,Avdiivka,48.1394,37.7497,1,"Liveuamap; Novoye Vremya Ukraine; 24 Channel; Suspilne Media","Local partner-New media","On 18 March 2022, Russian forces fired Grad missiles at a 9-storey building, a shop, and a military-administrative building in Avdiivka, Donetsk. Two people were killed, four wounded.",2,1647984300,UKR
8914483,804,UKR53473,53473,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"Military Forces of Russia (2000-) Air Force",,8,18,Europe,Ukraine,Kyiv,Buchanskyi,Buchanska,Bucha,50.5435,30.212,3,"Liveuamap; Stop Corruption; LIGA.net; Novoye Vremya Ukraine; Sprotyv; Ukrainian News Agency; Segodnya","Local partner-New media","On 18 March 2022, Ukrainian air defense forces fired Stinger missiles at a Su-34 Russian jet in the Bucha district, Kyiv, shooting it down. No pilot ejection was noticed, the pilot assumed dead.",1,1647984300,UKR
8914484,804,UKR53475,53475,"18 March 2022",2022,1,Battles,"Armed clash","Military Forces of Ukraine (2019-)",,1,"Military Forces of Russia (2000-)",,8,18,Europe,Ukraine,Chernihiv,Chernihivskyi,Chepnigivska,Chernihiv,51.5055,31.2849,2,"National Corps; Liveuamap","Local partner-New media","On 18 March 2022, Ukrainian forces clashed with Russian forces near Chernihiv, destroying a Tor missile system and a command center. Casualties unknown.",0,1647984300,UKR
8914485,804,UKR53476,53476,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"Military Forces of Russia (2000-)",,8,18,Europe,Ukraine,Kherson,Khersonskyi,Chornobaivska,Chornobaivka,46.6974,32.5526,1,"Unian; Segodnya",National,"On 18 March 2022, Ukrainian forces shelled the Russian positions in the airport in Chornobaivka, Kherson. The Ukrainians report on killing one lieutenant-general and an unspecified number of other personnel in a forward command center. Unspecified fatalities coded as 10.",10,1647984300,UKR
8914486,804,UKR53483,53483,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,"Civilians (Ukraine)","Police Forces of Ukraine (2019-) State Emergency Service of Ukraine",7,78,Europe,Ukraine,Kharkiv,Kharkivskyi,Kharkivska,Kharkiv,49.9808,36.2527,1,"Segodnya; Stop Corruption; Liveuamap; Flot 2017; 24 Channel; Ukrainian News Agency; Suspilne Media","Local partner-New media","On 18 March 2022, Russian forces fired missiles at the Barabashovo market, the administration academy, and several residential buildings and houses in Kharkiv. A state emergency employee died after repeated shelling during a rescue mission. 11 people, including a firefighter, were wounded.",1,1647984300,UKR
8914487,804,UKR53485,53485,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,"Civilians (Ukraine)",,7,78,Europe,Ukraine,Donetsk,Kramatorskyi,Kramatorska,Kramatorsk,48.7306,37.5816,1,"DPA; Segodnya; Stop Corruption; 24 Channel; Suspilne Media",National-Regional,"On 18 March 2022, Russian forces fired missiles at a residential building and an administrative building of Kramatorsk, Donetsk. Two people died, 6 were wounded.",2,1647984300,UKR
8914488,804,UKR53486,53486,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,,,0,80,Europe,Ukraine,Donetsk,Pokrovskyi,Ocheretynska,Krasnohorivka,48.2067,37.7244,1,"24 Channel; Suspilne Media",National,"On 18 March 2022, Russian forces shelled the village of Krasnohorivka, Donetsk. Casualties unknown.",0,1647984300,UKR
8914489,804,UKR53489,53489,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,"Civilians (Ukraine)",,7,78,Europe,Ukraine,"Kyiv City",Kyiv,,"Kyiv - Podilskyi",50.4931,30.4406,1,"Suspilne Media; ZMINA; 24 Channel; Stop Corruption",Other-National,"On 18 March 2022, Russian forces fired missiles at residential buildings in Kyiv - Podilskyi. The fragments of a missile destroyed a school, a kindergarten, and set a 5-storey building on fire. One civilian died, 19 were wounded.",1,1647984300,UKR
8914490,804,UKR53490,53490,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,,,0,80,Europe,Ukraine,"Kyiv City",Kyiv,,"Kyiv - Sviatoshynskyi",50.4696,30.3382,1,"Flot 2017; Stop Corruption",National,"On 18 March 2022, Russian forces fired a missile at residential buildings in Kyiv - Sviatoshynskyi, damaging a house and a car. No casualties.",0,1647984300,UKR
8914491,804,UKR53491,53491,"18 March 2022",2022,1,Protests,"Peaceful protest","Protesters (Ukraine)",,6,,,0,60,Europe,Ukraine,Lviv,Lvivskyi,Lvivska,Lviv,49.8407,24.0305,1,"Flot 2017; ZMINA; Ukrainian News Agency",Other-National,"On 18 March 2022, people protested outside the city hall in Lviv, calling for the establishment of a no-fly zone over Ukraine and further international involvement in the protection of children in Ukraine. [size=no report]",0,1647984300,UKR
