Name,Type,Action
Accenture,Withdrawal,exiting Russia completely
Acronis,Withdrawal,suspend operations in Russia
Activision Blizzard,Withdrawal,suspend all sales in Russia
Adenza,Withdrawal,suspend operations in Russia
AECOM,Withdrawal,suspend operations in Russia
AerCap,Withdrawal,cease lending to Russians
Airbnb,Withdrawal,suspend bookings in Russia
Alaska Airlines,Withdrawal,suspend Russian partnerships
Alcoa,Withdrawal,suspend all business with Russia
Aldi,Withdrawal,remove products from Russia
American Airlines,Withdrawal,no flying over Russian airspace
Asda,Withdrawal,remove products from Russia
Asian Infrastructure Investment Bank,Withdrawal,curtail Russian access to capital markets
Asos ,Withdrawal,suspend all shipments to Russia
Autodesk,Withdrawal,suspend operations in Russia
Avery Dennison,Withdrawal,exit from Russia
Avid,Withdrawal,suspend all sales to Russia
Baker Botts,Withdrawal,suspend operations in Russia
BCG,Withdrawal,suspend all consulting in Russia 
BlackRock,Withdrawal,curtail Russian access to capital markets
Bolt,Withdrawal,suspend Russian partnerships
Boohoo Group,Withdrawal,suspend all shipments to Russia
Booking,Withdrawal,suspend bookings in Russia
BP ,Withdrawal,suspend operations/divest from 20% Rosneft stake
British American Tobacco,Withdrawal,suspend operations in Russia 
Brown-Forman,Withdrawal,suspend commercial operations in Russia
Bryan Cave,Withdrawal,exit Russian operations
Bumble,Withdrawal,suspend operations in Russia
Carnival,Withdrawal,discontinue Russia itineraries 
Centrica,Withdrawal,exit gas supply partnership with Gazprom
Clarivate,Withdrawal,exit Russian operations
Clifford Chance,Withdrawal,suspend certain Russian relationships
Coupa,Withdrawal,suspend operations in Russia
Coursera,Withdrawal,suspend operations in Russia
Crocs,Withdrawal,suspend D2C business
Daimler,Withdrawal,suspending all business in Russia
DB Schenker,Withdrawal,suspend all shipments to Russia
Dechert,Withdrawal,suspend operations in Russia
Deezer,Withdrawal,suspend operations in Russia
Deloitte,Withdrawal,leaving Russia completely
Delta Air Lines,Withdrawal,suspend agreement with Aeroflot
Dentsu International,Withdrawal,divest joint venture/leave Russia
DXC Technology,Withdrawal,leaving Russia completely
EarthDaily Analytics,Withdrawal,suspend operations in Russia 
eBay ,Withdrawal,suspend all shipments to Russia
Electronic Arts,Withdrawal,suspend all operations in Russia
Eni,Withdrawal,divest Russian pipeline
EPAM,Withdrawal,discontinue servicing Russian customers
Equinor,Withdrawal,exit joint ventures in Russia
Esri ,Withdrawal,curtailing sales to Russia
Eurovision,Withdrawal,ban on all Russian competition
Eversheds Sutherland,Withdrawal,close Russia office
Expedia,Withdrawal,suspend bookings in Russia
Exxon ,Withdrawal,exit Rosneft partnership
EY,Withdrawal,leaving Russia completely
Farfetch,Withdrawal,suspend all shipments to Russia
Fazer,Withdrawal,suspend operations in Russia
Ferragamo,Withdrawal,suspend all shipments to Russia
FIFA,Withdrawal,ban Russian athletes from competing
Fitch,Withdrawal,suspend operations in Russia
Formula One,Withdrawal,suspend all operations in Russia
Fortinet,Withdrawal,suspend operations in Russia
Freshfields,Withdrawal,suspend certain Russian partnerships
Geodis,Withdrawal,suspend all shipments to Russia
Global Foundries,Withdrawal,suspend all shipments to Russia
Grammarly,Withdrawal,suspend operations in Russia
Grant Thornton,Withdrawal,closing business in Russia 
Herbert Smith,Withdrawal,suspend operations in Russia
Hogan Lovells,Withdrawal,exit Russian operations
ICBC,Withdrawal,curtail Russian access to capital markets
Intercontinental Exchange,Withdrawal,curtail Russian access to capital markets
International Boxing Federation,Withdrawal,ban on all Russian competition
International Cat Federation,Withdrawal,ban Russian cats from competitions
International Cycling Union,Withdrawal,ban on all Russian competition
International Ice Hockey Federation,Withdrawal,ban on all Russian competition
International Skating Union,Withdrawal,ban on all Russian competition
International Tennis Federation,Withdrawal,suspend Russian partnerships
International Weightlifting Federation,Withdrawal,ban on all Russian competition
Interpublic Group,Withdrawal,exit Russian operations
IOC,Withdrawal,ban Russian athletes from competing
J Sainsbury,Withdrawal,remove products from Russia
Knight Frank,Withdrawal,suspend new investments in Russia
Korean Air Lines,Withdrawal,no flying over Russian airspace
KPMG,Withdrawal,leaving Russia completely
Kuehne + Nagel AG,Withdrawal,suspend all shipments to Russia
Latham & Watkins,Withdrawal,suspend operations in Russia
Linklaters ,Withdrawal,suspend operations in Russia
Live Nation Entertainment,Withdrawal,suspend all operations in Russia
London Stock Exchange Group,Withdrawal,curtail Russian access to capital markets
Marsh McLennan,Withdrawal,exit operations in Russia
McKinsey,Withdrawal,suspend all consulting in Russia 
Monroe Energy,Withdrawal,suspend partnerships with Russia
Moody's,Withdrawal,suspend operations within Russia
Morgan Lewis,Withdrawal,suspend operations in Russia
Morrisons,Withdrawal,remove products from Russia
MSC ,Withdrawal,suspend all shipments to Russia
MSCI,Withdrawal,curtail Russian access to capital markets
Nasdaq,Withdrawal,curtail Russian access to capital markets
Netflix,Withdrawal,suspend operations in Russia
Netscout,Withdrawal,suspend Russian operations
New Development Bank,Withdrawal,curtail Russian access to capital markets
Norton Rose Fulbright,Withdrawal,suspend Russian operations
Norwegian Cruise Lines,Withdrawal,discontinue Russian itineraries
Oceana Cruises,Withdrawal,discontinue Russian itineraries
OMV,Withdrawal,divest Russian projects
OneWeb,Withdrawal,suspend use of Russian airspace
Par Pacific,Withdrawal,suspend partnerships with Russia
Paulig,Withdrawal,suspend operations in Russia
