"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=M&datecode=202111&tab=overview&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Wed Mar 23 2022 10:36:44 GMT-0400 (Eastern Daylight Saving Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","Plant Code","State","Sector Name","Prime Movers","Fuel Types","Primary Technology"
" Wethersfield",56902,"NY","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"0 Hammond St CSG",64876,"MA","IPP Non-CHP","BA, PV","MWH, SUN","Multiple"
"10 Briggs Solar NG, LLC (East)",62781,"RI","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"10 Finderne Avenue Solar, LLC",64023,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"100 Brook Hill Drive Solar",63292,"NY","Commercial Non-CHP","PV","SUN","Solar Photovoltaic"
"1001 Ebenezer Church Solar",63444,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1008 Matthews Solar",63447,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1009 Yadkin Solar",63445,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"101 Carnegie Center Solar, LLC",64025,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1025 Traveller Solar, LLC",62660,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1034 Catherine Lake Solar, LLC",64478,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1045 Tomlin Mill Solar",63448,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1047 Little Mountain Solar, LLC",62661,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1051 Lucky Solar, LLC",64271,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1073 Onslow Solar",63446,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"115 G Fisher",65092,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"12 Applegate Solar LLC",59371,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"126 Grove Solar LLC",60858,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"13 Mile Solar, LLC",64456,"MI","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1420 Coil Av #C",57310,"CA","Commercial Non-CHP","PV","SUN","Solar Photovoltaic"
"145 Talmadge Solar",57458,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1515 S Caron Road",7770,"IL","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"154 D Fisher",65093,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"158th Fighter Wing Solar Farm",60542,"VT","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1634 Solar",61935,"SC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"180 Raritan Solar",58187,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"191 Peachtree Tower",54818,"GA","Commercial Non-CHP","IC","DFO","Petroleum Liquids"
"1st Energy",8812,"VA","Electric Utility","--","--","--"
"201 Sturbridge B",59822,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"205 Sturbridge A",59821,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"2081 Terzian Solar Project",58918,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"2097 Helton Solar Project",58920,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"2127 Harris Solar Project",58919,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"231 Dixon 74 Solar I, LLC",61195,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"232 Long Branch 29 Solar I, LLC",63296,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"24 Applegate Solar LLC",59365,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"25 Ashdown Road Solar, LLC",62998,"NY","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"2555 E Olympic Bl",57871,"CA","Commercial Non-CHP","PV","SUN","Solar Photovoltaic"
"265 Pleasant Solar NG, LLC",59485,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"2662 Freeport Solar 1 CSG",64058,"IL","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"28 Livermore Hill Road Solar",64014,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"2W Permian Solar Project Hybrid",63255,"TX","IPP Non-CHP","BA, PV","MWH, SUN","Multiple"
"3 MW LLC",64592,"CO","Industrial Non-CHP","IC","OG","Other Gases"
"301 Chestnut Solar NG",61518,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"315 Vinson Road",63979,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"350 Clark Solar, NG, LLC",61224,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"4 Applegate Solar LLC",59370,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"433 Purchase Solar NG, LLC",61237,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"435A Bergen Avenue",63366,"NJ","Commercial Non-CHP","PV","SUN","Solar Photovoltaic"
"45 Mile Hydroelectric Project",58455,"OR","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"46 Meadowlands Parkway",62325,"NJ","Commercial Non-CHP","PV","SUN","Solar Photovoltaic"
"4710 Hosting",62162,"MN","Commercial Non-CHP","IC","DFO","Petroleum Liquids"
"491 E 48th Street",7268,"MI","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"4Oaks",59534,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"500 Virginia Solar",57640,"PA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"500MW CC",56196,"NY","Electric Utility","CA, CT","NG","Natural Gas Fired Combined Cycle"
"510 Carnegie Center",64194,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"510 REPP One",57363,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"580 River Solar",65085,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"59th Street",2503,"NY","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"6140 Route 209 - North",64046,"NY","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"631 Owner Turbine",59639,"MA","Industrial Non-CHP","WT","WND","Onshore Wind Turbine"
"651 Chase Solar NG",59046,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"6685 Santa Barbara Ct",64343,"MD","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"701 Carnegie Center",64195,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"7185 13th Pl. NW",63970,"DC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"7448 Candlewood Road",64502,"MD","Commercial Non-CHP","PV","SUN","Solar Photovoltaic"
"74th Street",2504,"NY","Electric Utility","GT","KER","Petroleum Liquids"
"77 Metro Way",62326,"NJ","Commercial Non-CHP","PV","SUN","Solar Photovoltaic"
"85 A",52162,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"85 B",52163,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"98th Street Battery Storage Station",62839,"NY","Electric Utility","BA","MWH","Batteries"
"99 Islands",3272,"SC","Electric Utility","HY","WAT","Conventional Hydroelectric"
"A B Brown",6137,"IN","Electric Utility","GT, ST","BIT, NG","Multiple"
